rating,acidity_structure,aftertaste,aroma,body,flavor,agtron,coffee_origin,est_price,roast_level,roaster,roaster_location
95,,9.0,9.0,9.0,9.0,40/48,"Gedeb District, Gedeo Zone, southern Ethiopia",NT $1400/16 ounces,Medium-Dark,Simon Hsieh's Aroma Roast Coffees,"Taoyuan City, Taiwan"
95,,9.0,9.0,9.0,9.0,56/80,"Yirgacheffe growing region, southern Ethiopia",$18.75/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
63,1.0,3.0,2.0,5.0,2.0,NA/NA,Not disclosed,$9.99/7 ounces (198 grams),Light,Nescafe,"Glendale, California"
94,,9.0,9.0,9.0,9.0,51/73,"Kirinyaga District, south-central Kenya",$19.50/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
92,8.0,7.0,9.0,9.0,9.0,57/78,"Cajamarca region, northern Peru",$13.95/12 ounces,Medium-Light,Espresso Republic,"Chino, California"
93,8.0,8.0,,9.0,9.0,/,Guatemala; Ethiopia,$4.00/12-ounce bottle,,States Coffee & Mercantile,"Martinez, California"
93,9.0,8.0,9.0,8.0,9.0,56/80,"Kayanza Province, Burundi",$20.50/16 ounces,Medium-Light,Olympia Coffee Roasting,"Olympia, Washington"
91,8.0,8.0,8.0,8.0,9.0,58/76,"Southern Minas Gerais State, southeastern Brazil",$16.00/10 ounces,Medium-Light,Nook Bakery & Coffee Bar,"Philadelphia, Pennsylvania"
93,8.0,8.0,9.0,9.0,9.0,47/77,"Monteverde, Costa Rica",$12.60/12 ounces,Medium-Light,Montana Coffee Traders,"Whitefish, Montana"
94,9.0,8.0,9.0,9.0,9.0,56/78,"Boquete growing region, western Panama",NT $900/8 ounces,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
94,9.0,8.0,9.0,9.0,9.0,49/71,"Lintong growing region, North Sumatra Province, Indonesia",$14.95/12 ounces,Medium,Klatch Coffee,"Los Angeles, California"
93,9.0,8.0,9.0,8.0,9.0,53/77,Kenya; Ethiopia,$22.00/12 ounces,Medium-Light,Per'la Specialty Roasters,"Miami, Florida"
92,8.0,8.0,9.0,8.0,9.0,54/78,"Gayo (also Aceh) growing region, Aceh Province, northern Sumatra, Indonesia",HKD $140/227 grams,Medium-Light,A.R.C.,"Hong Kong, China"
94,9.0,9.0,9.0,8.0,9.0,61/93,"Jinotega, Nicaragua",$17.95/12 ounces,Light,Barrington Coffee Roasting,"Lee, Massachusetts"
96,10.0,9.0,9.0,9.0,9.0,55/76,South-central Kenya,$19.25/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
94,9.0,9.0,9.0,8.0,9.0,53/77,"Boquete growing region, western Panama",$37.00/4 ounces,Medium-Light,Equator Coffees & Teas,"San Rafael, California"
95,9.0,9.0,9.0,9.0,9.0,56/80,"Santa Ana Department, El Salvador",$25.00/12 ounces,Medium-Light,Bird Rock Coffee Roasters,"San Diego, California"
96,9.0,9.0,10.0,9.0,9.0,56/80,"Piedra Candela, Chiriqui Province, far western Panama",$55.00/12 ounces,Medium-Light,Willoughby's Coffee & Tea,"Branford, Connecticut"
94,9.0,8.0,9.0,9.0,9.0,58/86,"Kochere, Yirgacheffe growing region, south-central Ethiopia",NT $580/220 grams,Light,Green Stone Coffee,"Taipei, Taiwan"
93,9.0,8.0,9.0,8.0,9.0,53/77,"Biolley, southern Costa Rica",$28.00/8 ounces,Medium-Light,OQ Coffee Co.,"Highland Park, New Jersey"
93,8.0,8.0,9.0,9.0,9.0,58/84,"Nueva Segovia growing region, Nicaragua",$20.00/12 ounces,Light,Dragonfly Coffee Roasters,"Boulder, Colorado"
94,9.0,8.0,9.0,9.0,9.0,56/80,"Kirinyaga District, south-central Kenya",$15.00/12 ounces,Medium-Light,Flight Coffee Co.,"Bedford, New Hampshire"
95,9.0,9.0,9.0,9.0,9.0,54/78,"Nakuru County, south-central Kenya",$22.00/12 ounces,Medium-Light,Good Folks Coffee,"Louisville, Kentucky"
93,9.0,8.0,9.0,8.0,9.0,58/86,Ethiopia; Costa Rica; Panama,$22.00/8 ounces,Light,Fumi Coffee,"Hsinchu, Taiwan"
93,8.0,8.0,9.0,9.0,9.0,58/82,"Kirumba, North Kivu Province, Democratic Republic of the Congo",$17.00/12 ounces,Medium-Light,Speckled Ax,"Portland, Maine"
93,8.0,8.0,9.0,9.0,9.0,57/81,Ethiopia; Kenya; Colombia,$14.99/12 ounces,Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
93,8.0,8.0,9.0,9.0,9.0,56/84,"Yirgacheffe growing region, southern Ethiopia",$25.00/12 ounces,Medium-Light,Roast House,"Spokane, Washington"
95,9.0,9.0,9.0,9.0,9.0,55/77,"Muranga District, central Kenya",$14.00/250 grams,Medium-Light,Cimarron Coffee Roasters,"Montrose, Colorado"
89,8.0,7.0,8.0,8.0,8.0,48/58,"Huila, Colombia",$16.95/12 ounces,Medium,Espresso Republic,"Chino, California"
91,8.0,8.0,8.0,8.0,9.0,50/74,"Kiambu County, south-central Kenya",$24.00/12 ounces,Medium-Light,The WestBean Coffee Roasters,"San Diego, California"
92,,8.0,9.0,8.0,8.0,55/79,"Copan, Honduras",NT $500/16 ounces,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
92,8.0,8.0,9.0,8.0,9.0,53/79,"Kiambu County, south-central Kenya",$25.00/12 ounces,Medium-Light,Espresso Republic,"Chino, California"
93,,8.0,9.0,8.0,9.0,53/77,"Marcala growing region, La Paz Department, Honduras",NT $500/16 ounces,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
95,9.0,9.0,9.0,9.0,9.0,50/76,"Mukaro, Nyeri growing region, south-central Kenya",$20.00/12 ounces,Medium-Light,Speckled Ax,"Portland, Maine"
93,8.0,8.0,9.0,9.0,9.0,58/84,"Chimaltenango Department, Guatemala",$17.00/12 ounces,Light,Chocolate Fish Coffee Roasters,"Sacramento, California"
92,8.0,8.0,9.0,8.0,9.0,54/78,"Captain Cook, North Kona growing district, “Big Island” of Hawaii",$30.00/8 ounces,Medium-Light,Hala Tree Kona Coffee,"Captain Cook, Hawaii"
96,9.0,9.0,9.0,9.0,10.0,58/84,"Kiambu County, south-central Kenya",$15.00/250 grams,Light,Coava Coffee Roasters,"Portland, Oregon"
92,8.0,8.0,9.0,8.0,9.0,62/84,"Haraz growing region, north-central Yemen",$27.50/8 ounces,Light,PT's Coffee Roasting,"Topeka, Kansas"
93,9.0,8.0,8.0,9.0,9.0,63/85,"Piedra Candela, Chiriqui Province, far western Panama",$40.00/8 ounces,Light,PT's Coffee Roasting,"Topeka, Kansas"
95,9.0,9.0,9.0,9.0,9.0,53/85,"Boquete growing region, western Panama",$60.00/8 ounces,Medium-Light,PT's Coffee Roasting,"Topeka, Kansas"
91,8.0,7.0,9.0,8.0,9.0,58/84,"Southern Tolima Department, west-central Colombia",$15.75/12 ounces,Light,JBC Coffee Roasters,"Madison, Wisconsin"
96,9.0,9.0,9.0,9.0,10.0,54/76,"Northern Sumatra, Indonesia",$18.95/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
91,,8.0,8.0,8.0,9.0,50/68,"Doi Pangkhon growing region, northern Thailand",$16.95/12 ounces,Medium,Paradise Roasters,"Ramsey, Minnesota"
93,,8.0,8.0,9.0,9.0,46/67,Not disclosed,$12.95/12 ounces,Medium,Paradise Roasters,"Ramsey, Minnesota"
92,8.0,7.0,9.0,9.0,9.0,54/80,"Gatundu, Thika Province, central Kenya",$19.95/8 ounces,Medium-Light,Amavida Coffee Roasters,"Santa Rosa Beach, Florida"
93,8.0,8.0,9.0,9.0,9.0,57/85,"Guji Zone, southern Ethiopia",$35.00/100 grams,Light,Black Coffee in Black Jar,"Taichung, Taiwan"
93,,7.0,9.0,9.0,9.0,47/69,"Yirgacheffe growing region, southern Ethiopia",NT $2500/16 ounces,Medium,Simon Hsieh’s Aroma Roast Coffees,"Taoyuan City, Taiwan"
93,8.0,9.0,9.0,8.0,9.0,61/77,"Ka'u growing region, Big Island of Hawaii",$29.48/8 ounces,Medium-Light,Ka'u Specialty Coffee,"Pahala, Hawaii"
94,,8.0,9.0,9.0,9.0,56/72,Brazil and four other origins,$14.00/12 ounces,Medium-Light,Magnolia Coffee,"Charlotte, North Carolina"
95,,9.0,9.0,9.0,9.0,40/60,"Yirgacheffe growing region, southern Ethiopia",NT $1300/16 ounces,Medium-Dark,Simon Hsieh’s Aroma Roast Coffees,"Taoyuan City, Taiwan"
91,8.0,8.0,8.0,8.0,9.0,53/87,"Central Valley, Costa Rica",$20.50/12 ounces,Medium-Light,Temple Coffee and Tea,"Sacramento, California"
92,7.0,9.0,9.0,8.0,9.0,54/74,"Yirgacheffe growing region, southern Ethiopia",$19.00/12 ounces,Medium-Light,Temple Coffee and Tea,"Sacramento, California"
95,9.0,9.0,9.0,9.0,9.0,60/84,"Chiriqui Province, far western Panama",$54.00/8 ounces,Light,Temple Coffee and Tea,"Sacramento, California"
95,9.0,8.0,10.0,9.0,9.0,53/81,"Piedra Candela, Chiriqui Province, far western Panama",$51.00/8 ounces,Medium-Light,Bird Rock Coffee Roasters,"San Diego, California"
93,8.0,8.0,9.0,9.0,9.0,60/86,"Acatenango growing region, central Guatemala",$35.00/100 grams,Light,Black Coffee in Black Jar,"Taichung, Taiwan"
92,9.0,8.0,8.0,8.0,9.0,63/85,"Huila Department, southern Colombia",$17.00/12 ounces,Light,Manzanita Roasting Company,"San Diego, California"
94,9.0,8.0,9.0,9.0,9.0,65/93,"Kochere, Yirgacheffe growing region, south-central Ethiopia",$16.99/12 ounces,Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
95,9.0,9.0,9.0,9.0,9.0,56/75,"Guji Zone, Oromia Region, south-central Ethiopia",$35.00/100 grams,Medium-Light,Black Coffee in Black Jar,"Taichung, Taiwan"
90,8.0,8.0,8.0,8.0,8.0,58/71,"Ka'u growing region, Big Island of Hawaii",$29.48/8 ounces,Medium-Light,Ka'u Specialty Coffee,"Pahala, Hawaii"
93,8.0,8.0,9.0,9.0,9.0,54/78,"Sidamo growing region, south-central Ethiopia",$206.00/8 ounces,Medium-Light,"Good Chance Biotechnology, Ltd.","Taichung City, Taiwan"
93,8.0,8.0,9.0,9.0,9.0,54/78,"Sidamo growing region, south-central Ethiopia",$206.00/8 ounces,Medium-Light,"Good Chance Biotechnology, Ltd.","Taichung City, Taiwan"
95,9.0,9.0,9.0,9.0,9.0,58/82,"Gedeb District, Gedeo Zone, southern Ethiopia",$18.75/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
93,9.0,9.0,9.0,9.0,7.0,60/84,"Nyamagabe District, Southern Province, Rwanda",$17.25/12 ounces,Light,JBC Coffee Roasters,"Madison, Wisconsin"
93,,7.0,9.0,9.0,9.0,54/78,"Nyamagabe district, Southern Province, Rwanda",$17.25/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
94,9.0,8.0,9.0,9.0,9.0,53/85,Kenya Gatugi AB,$35.00/100 grams,Medium-Light,Black Coffee in Black Jar,"Taichung, Taiwan"
90,8.0,8.0,8.0,8.0,8.0,58/84,"Santa Barbara Department, Honduras",$15.00/250 grams,Light,Coava Coffee Roasters,"Portland, Oregon"
90,8.0,8.0,8.0,8.0,8.0,45/75,"Yirgacheffe growing region, southern Ethiopia",$13.99/12 ounces,Medium,Mystic Monk Coffee,"Clark, Wyoming"
93,9.0,8.0,8.0,9.0,9.0,50/67,"Gikongoro Prefecture, south-central Rwanda",$16.95/12 ounces,Medium,Durango Coffee Company,"Durango, Colorado"
93,8.0,8.0,9.0,9.0,9.0,58/76,"Gaitania, Tolima Department, west-central Colombia",$15.75/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
94,9.0,9.0,9.0,8.0,9.0,57/70,"San Martin Jilotepeque, Chimaltenango Department, central Guatemala",$15.75/12 ounces,Medium-Light,Durango Coffee Company,"Durango, Colorado"
93,8.0,8.0,9.0,9.0,9.0,60/80,Panama; Ethiopia,$32.00/8 ounces,Medium-Light,Temple Coffee and Tea,"Sacramento, California"
93,9.0,8.0,9.0,8.0,9.0,60/86,Ethiopia; Kenya; El Salvador,NT $500/16 ounces,Light,Kakalove Cafe,"Chia-Yi, Taiwan"
93,9.0,8.0,9.0,8.0,9.0,52/78,Guatemala; El Salvador; Ethiopia,$17.00/12 ounces,Medium-Light,Corvus Coffee Roasters,"Denver, Colorado"
94,9.0,8.0,9.0,9.0,9.0,56/82,Central America; South America; Indonesia,$14.00/12 ounces,Medium-Light,Water Avenue Coffee,"Portland, Oregon"
92,8.0,8.0,8.0,9.0,9.0,52/78,Costa Rica; Ethiopia,$21.00/16 ounces,Medium-Light,Roast House,"Spokane, Washington"
92,8.0,8.0,9.0,8.0,9.0,56/78,Colombia; Kenya,$13.75/12 ounces,Medium-Light,Revel Coffee,"Billings, Montana"
92,8.0,8.0,8.0,9.0,9.0,51/81,El Salvador; Indonesia,$23.00/12 ounces,Medium-Light,Bird Rock Coffee Roasters,"San Diego, California"
93,9.0,8.0,9.0,8.0,9.0,58/84,"Cajamarca, Peru",$16.49/12 ounces,Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
94,9.0,9.0,9.0,8.0,9.0,60/88,"Yirgacheffe growing region, south-central Ethiopia",NT $650/16 ounces,Light,Kakalove Cafe,"Chia-Yi, Taiwan"
92,,8.0,9.0,8.0,9.0,51/75,"Chiang Rai Province, northern Thailand",$6.00/250 grams,Medium-Light,Bluekoff Company,"Bangkok, Thailand"
93,9.0,8.0,9.0,8.0,9.0,60/84,"Sidamo (also Sidama) growing region, south-central Ethiopia",NT $600/16 ounces,Light,Kakalove Cafe,"Chia-Yi, Taiwan"
94,,8.0,9.0,9.0,9.0,42/57,"Agaro District, Jimma Zone, west-central Ethiopia",NT $550/16 ounces,Medium-Dark,Kakalove Cafe,"Chia-Yi, Taiwan"
93,,8.0,9.0,9.0,9.0,58/74,"Tolima Department, center-west Colombia",$17.50/12 ounces,Medium-Light,Chocolate Fish Coffee Roasters,"Sacramento, California"
92,8.0,8.0,9.0,8.0,9.0,51/75,"Nyeri growing region, south-central Kenya",$15.50/12 ounces,Medium-Light,Revel Coffee,"Billings, Montana"
92,8.0,8.0,9.0,8.0,9.0,53/68,"Yirgacheffe growing region, southern Ethiopia",$24.00/12 ounces,Medium,The WestBean Coffee Roasters,"San Diego, California"
93,,8.0,8.0,9.0,9.0,51/75,Brazil; Costa Rica,$14.00/12 ounces,Medium-Light,Charlotte Coffee Company,"Charlotte, North Carolina"
94,9.0,8.0,9.0,9.0,9.0,58/82,"Guji Zone, Oromia Region, south-central Ethiopia",$17.95/12 ounces,Medium-Light,Paradise Roasters,"Ramsey, Minnesota"
95,9.0,9.0,9.0,9.0,9.0,46/62,"Holualoa, North Kona growing district, “Big Island” of Hawaii",$44.95/8 ounces,Medium,Hula Daddy Kona Coffee,"Holualoa, Hawaii"
92,8.0,8.0,9.0,8.0,9.0,58/80,"Mandheling growing region, northern Sumatra, Indonesia",$35.00/100 grams,Medium-Light,Black Coffee in Black Jar,"Taichung, Taiwan"
95,9.0,9.0,9.0,9.0,9.0,52/78,"Buhinyuza District, Muhinga Province, Burundi",$17.60/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
92,8.0,8.0,8.0,9.0,9.0,49/65,"Gikongoro Prefecture, south-central Rwanda",$14.50/12 ounces,Medium,Mr. Espresso,"Oakland, California"
94,9.0,8.0,9.0,9.0,9.0,52/73,Ethiopia; Burundi; Kenya,$13.99/12 ounces,Medium-Light,Allegro Coffee,"Thornton, Colorado"
92,8.0,8.0,9.0,8.0,9.0,45/54,"Kahale, South Kivu Province, Democratic Republic of the Congo",$11.35/12 ounces,Medium-Dark,Grounds for Change,"Poulsbo, Washington"
92,8.0,8.0,8.0,9.0,9.0,57/74,"Nueva Segovia Department, Nicaragua","KRW $11,000/250 grams",Medium-Light,Crescendo Coffee Roasters,"Yongin-Si, South Korea"
93,9.0,8.0,8.0,9.0,9.0,62/86,"Guji Zone, Oromia Region, south-central Ethiopia",NT $415/12 ounces,Light,Kakalove Cafe,"Chia-Yi, Taiwan"
93,8.0,8.0,9.0,9.0,9.0,53/69,"Sidama (also Sidamo) growing region, south-central Ethiopia",$14.00/12 ounces,Medium-Light,Caffeic,"Helena, Montana"
94,9.0,8.0,9.0,9.0,9.0,65/91,"Kirinyaga District, south-central Kenya",$15.00/12 ounces,Light,Big Shoulders Coffee,"Chicago, Illinois"
92,7.0,9.0,9.0,8.0,9.0,47/69,"Lintong growing region, North Sumatra Province, Indonesia",$12.00/12 ounces,Medium,Jackrabbit Java,"Thermopolis, Wyoming"
92,8.0,7.0,9.0,9.0,9.0,57/77,"Yirgacheffe growing region, south-central Ethiopia",CAD $15.50/340 grams,Medium-Light,Java Blend Coffee Roasters,"Halifax, Nova Scotia, Canada"
94,,8.0,9.0,9.0,9.0,58/82,Guatemala; Honduras; Ethiopia,NT $500/16 ounces,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
89,,7.0,8.0,8.0,8.0,52/72,Peru,$12.00/12 ounces,Medium-Light,Jackrabbit Java,"Thermopolis, Wyoming"
91,8.0,8.0,9.0,8.0,8.0,52/76,"Tarrazu growing region, Costa Rica",$25.00/12 ounces,Medium-Light,Caffe Luxxe,"Santa Monica, California"
90,8.0,7.0,8.0,9.0,8.0,47/72,"Bhirkune Village, Nuwakot District, Nepal",$9.94/4 ounces,Medium,Barrington Coffee Roasting,"Lee, Massachusetts"
92,9.0,8.0,8.0,8.0,9.0,58/80,"Sabanilla de Alajuela, Central Valley, Costa Rica",$9.94/4 ounces,Medium-Light,Barrington Coffee Roasting,"Lee, Massachusetts"
96,9.0,9.0,9.0,9.0,10.0,60/84,"Gedeo Zone, Yirgacheffe growing region, southern EthiopiaGedeo Zone, southern Ethiopia",$9.94/4 ounces,Light,Barrington Coffee Roasting,"Lee, Massachusetts"
92,8.0,8.0,9.0,8.0,9.0,58/82,"Ethiopia, Indonesia",NT $450/8 ounces,Medium-Light,Fumi Coffee,"Hsinchu, Taiwan"
94,9.0,8.0,9.0,9.0,9.0,54/78,Northern Burundi,$15.00/12 ounces,Medium-Light,Big Shoulders Coffee,"Chicago, Illinois"
91,8.0,7.0,8.0,9.0,9.0,52/78,"Toraja growing region, south-central Sulawesi, Indonesia",$20.00/12 ounces,Medium-Light,Espresso Republic,"Chino, California"
94,,,,,,58/80,"Boquete growing region, western Panama",NT $950/8 ounces,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
92,8.0,8.0,9.0,8.0,9.0,58/82,"Sidamo (also Sidama) growing region, south-central Ethiopia",NT $350/227 grams,Medium-Light,Evie's Cafe,"Chia-Yi, Taiwan"
92,8.0,8.0,9.0,8.0,9.0,60/84,"Flores Island, Indonesia",NT $500/225 grams,Light,Green Stone Coffee,"Taipei, Taiwan"
93,,8.0,9.0,9.0,9.0,56/78,"Gaitania, Tolima Department, west-central Colombia",$15.75/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
94,,9.0,9.0,8.0,9.0,51/74,"Gedeb District, Yirgacheffe growing region, south-central Ethiopia",$18.75/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
95,9.0,9.0,9.0,9.0,9.0,50/70,"Valle del Cauca growing region, Colombia",$37.50/8 ounces,Medium,PT's Coffee Roasting,"Topeka, Kansas"
94,9.0,8.0,9.0,9.0,9.0,60/84,"Guji Zone, Oromia Region, south-central Ethiopia",NT $460/8 ounces,Light,Roasters Note,"Changhua County, Taiwan"
95,9.0,9.0,9.0,9.0,9.0,55/79,"Cundinamarca Department, Colombia",$51.00/8 ounces,Medium-Light,Bird Rock Coffee Roasters,"San Diego, California"
94,9.0,8.0,9.0,9.0,9.0,56/78,Central Kenya,NT $460/8 ounces,Medium-Light,Cafe Douceur,"Tainan, Taiwan"
94,9.0,8.0,9.0,9.0,9.0,53/77,"Lintong growing region, North Sumatra Province, Indonesia",$21.00/12 ounces,Medium-Light,PT's Coffee Roasting,"Topeka, Kansas"
94,9.0,8.0,9.0,9.0,9.0,55/77,"Lintong growing region, North Sumatra Province, Indonesia",$17.00/12 ounces,Medium-Light,Flight Coffee Co.,"Bedford, New Hampshire"
94,8.0,9.0,9.0,9.0,9.0,50/76,"Al-Durrar, Sana’a Governorate, Yemen",$30.50/4 ounces,Medium-Light,Equator Coffees & Teas,"San Rafael, California"
93,9.0,8.0,9.0,8.0,9.0,58/84,"Gedeb District, Gedeo Zone, southern Ethiopia",$20.00/12 ounces,Light,Tico Coffee Roasters,"Campbell, California"
93,8.0,8.0,9.0,9.0,9.0,54/78,"Kiambu County, south-central Kenya",$17.00/12 ounces,Medium-Light,Greater Goods Coffee Roasters,"Austin, Texas"
93,9.0,8.0,9.0,8.0,9.0,55/77,"Pichincha growing region, northern Ecuador",$13.95/8 ounces,Medium-Light,Paradise Roasters,"Ramsey, Minnesota"
93,8.0,8.0,9.0,9.0,9.0,60/80,"Yirgacheffe growing region, southern Ethiopia",$16.49/12 ounces,Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
93,8.0,8.0,9.0,9.0,9.0,52/74,"Gedeb District, Gedeo Zone, southern Ethiopia",$17.00/12 ounces,Medium-Light,Bluebeard Coffee Roasters,"Tacoma, Washington"
93,8.0,8.0,9.0,9.0,9.0,56/78,"Ka'u growing region, Big Island of Hawaii",$28.00/8 ounces,Medium-Light,Rusty's Hawaiian Coffee,"Pahala, Hawaii"
93,8.0,8.0,9.0,9.0,9.0,58/82,"Yirgacheffe growing region, southern Ethiopia",$18.00/12 ounces,Medium-Light,Argyle Coffee Roasters,"Fort Lauderdale, Florida"
94,9.0,8.0,9.0,9.0,9.0,58/80,"Holualoa, North Kona growing district, “Big Island” of Hawaii",$45.95/8 ounces,Medium-Light,Hula Daddy Kona Coffee,"Holualoa, Hawaii"
94,9.0,8.0,9.0,9.0,9.0,45/75,"Nyeri growing region, south-central Kenya",$17.95/12 ounces,Medium,Moore Coffee,"Ventura, California"
93,9.0,8.0,9.0,8.0,9.0,54/78,"Guji Zone, Oromia Region, south-central Ethiopia",$19.50/12 ounces,Medium-Light,Peri Coffee,"Altadena, California"
95,9.0,9.0,9.0,9.0,9.0,52/72,"Chiriqui Province, far western Panama",$145.00/8 ounces,Medium-Light,Dragonfly Coffee Roasters,"Boulder, Colorado"
95,9.0,9.0,9.0,9.0,9.0,54/78,"Chiriqui Province, far western Panama",$75.00/8 ounces,Medium-Light,Dragonfly Coffee Roasters,"Boulder, Colorado"
96,9.0,9.0,9.0,9.0,10.0,58/84,Yemen,$75.00/8 ounces,Light,Dragonfly Coffee Roasters,"Boulder, Colorado"
93,,8.0,9.0,8.0,9.0,58/80,Ethopia; Rwanda; Peru,$16.49/12 ounces,Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
90,,7.0,9.0,8.0,8.0,43/54,Not disclosed,THB $320/250 grams,Medium-Dark,Amor,"Bangkok, Thailand"
94,9.0,8.0,9.0,9.0,9.0,60/84,"Yirgacheffe growing region, south-central Ethiopia",NT $700/16 ounces,Light,Coffee Please,"Taipei, Taiwan"
89,8.0,7.0,8.0,8.0,8.0,60/75,Peru,$12.00/12 ounces,Medium-Light,Espresso Republic,"Chino, California"
93,8.0,8.0,9.0,9.0,9.0,58/80,"Kayanza, Kabuye, Burundi",$16.95/12 ounces,Medium-Light,Amavida Coffee Roasters,"Santa Rosa Beach, Florida"
94,9.0,8.0,9.0,9.0,9.0,55/77,"Lintong growing region, North Sumatra Province, Indonesia",NT $550/16 ounces,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
93,9.0,7.0,9.0,9.0,9.0,58/84,Rwanda,$15.50/12 ounces,Light,Corvus Coffee Roasters,"Denver, Colorado"
92,8.0,8.0,8.0,9.0,9.0,58/80,"Chapada Diamantina growing region, Bahia State, Brazil",$22.50/12 ounces,Medium-Light,Soul Work Coffee,"Berkeley and Sacramento, California"
92,8.0,8.0,9.0,8.0,9.0,56/78,"Matas de Minas growing region, eastern Minas Gerais State, Brazil",CAD $29.00/200 grams,Medium-Light,Hatch Coffee,"Markham, Ontario, Canada"
92,8.0,7.0,9.0,9.0,9.0,55/81,"Mantiqueira de Minas growing region, southern Minas Gerais State, Brazil",$24.00/12 ounces,Medium-Light,Dragonfly Coffee Roasters,"Boulder, Colorado"
92,8.0,8.0,8.0,9.0,9.0,55/80,"Minas Gerais State, southeastern Brazil",$15.50/12 ounces,Medium-Light,Corvus Coffee Roasters,"Denver, Colorado"
93,8.0,8.0,9.0,9.0,9.0,58/77,"Carmo de Minas growing region, northeastern Minas Gerais State, Brazil",NT $450/16 ounces,Medium-Light,Auto Coffee,"New Taipei City, Taiwan"
93,9.0,8.0,9.0,8.0,9.0,56/78,"Sul de Minas growing region, Minas Gerais State, Brazil",$18.00/12 ounces,Medium-Light,Old Soul Co.,"Sacramento, California"
90,8.0,8.0,9.0,7.0,8.0,52/75,"Sul de Minas growing region, Minas Gerais State, Brazil",NT $420/227 grams,Medium-Light,Back Home Coffee,"Changhua County, Taiwan"
91,8.0,8.0,8.0,8.0,9.0,54/70,"Southern Minas Gerais State, southeastern Brazil",$15.00/10 ounces,Medium-Light,Novel Coffee Roasters,"Dallas, Texas"
91,8.0,8.0,8.0,8.0,9.0,55/72,"Carmo de Minas growing region, northeastern Minas Gerais State, Brazil",$15.50/12 ounces,Medium-Light,Big Creek Coffee Roasters,"Hamilton, Montana"
92,9.0,8.0,8.0,8.0,9.0,57/79,"Kirinyaga District, south-central Kenya",NT $800/16 ounces,Medium-Light,Coffee Please,"Taipei, Taiwan"
92,8.0,8.0,9.0,8.0,9.0,58/80,"Nariño Department, southern Colombia",$16.50/12 ounces,Medium-Light,Lexington Coffee Roasters,"Lexington, Virginia"
91,8.0,8.0,8.0,8.0,9.0,52/77,Burundi,$13.99/12 ounces,Medium-Light,Mystic Monk Coffee,"Clark, Wyoming"
95,9.0,9.0,9.0,9.0,9.0,52/78,"Narino Department, southern Colombia",$35.00/8 ounces,Medium-Light,Dragonfly Coffee Roasters,"Boulder, Colorado"
92,8.0,8.0,9.0,8.0,9.0,58/80,"Nyeri growing region, south-central Kenya",NT $630/227 grams,Medium-Light,Direct Coffee,"Hsinchu, Taiwan"
92,8.0,8.0,9.0,8.0,9.0,47/71,"Nyeri growing region, south-central Kenya",NT $480/225 grams,Medium,Green Stone Coffee,"Taipei, Taiwan"
93,,8.0,9.0,8.0,9.0,52/78,Ethiopia; Brazil,$16.00/12 ounces,Medium-Light,Modern Times Coffee,"San Diego, California"
95,,9.0,9.0,9.0,9.0,54/78,"Buhinyuza District, Muhinga Province, Burundi",$17.60/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
93,8.0,8.0,9.0,9.0,9.0,56/80,"Chalatenango growing region, northwest El Salvador",$24.95/12 ounces,Medium-Light,Conscious Cup Coffee Roasters,"Crystal Lake, Illinois"
92,,7.0,9.0,8.0,9.0,50/74,Ethiopia; Sumatra,NT $480/16 ounces,Medium-Light,Creation Food Co.,"Taipei City, Taiwan"
93,,8.0,9.0,8.0,9.0,46/70,Brazil; Guatemala,NT $480/16 ounces,Medium,Creation Food Co.,"Taipei City, Taiwan"
93,9.0,8.0,9.0,8.0,9.0,54/80,"Gitega Province, Burundi",$19.95/12 ounces,Medium-Light,Barrington Coffee Roasting,"Lee, Massachusetts"
94,9.0,8.0,9.0,9.0,9.0,50/74,"Kalehe, South Kivu Province, Democratic Republic of the Congo",$18.00/12 ounces,Medium-Light,Dragonfly Coffee Roasters,"Boulder, Colorado"
